Bid ID,Title,Organization,Quantity,Start Date,End Date,Bid Value
GEM/2026/B/7269296,Hiring of Sanitation Service - Manpower Based Model - Sanitation Officer; 7; All Areas; All Areas; ,Cabinet Secretariat | NA,18,26-02-2026 15:52,11-04-2026 15:00,
GEM/2026/B/7400836,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; High School; Others,Manpower Outsour",Municipal Corporation of Delhi (MCD),110,29-03-2026 16:27,13-04-2026 16:00,
GEM/2026/B/7398954,Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Healthcare,Ministry of Health and Family Welfare | Department of Health and Family Welfare,34,01-04-2026 12:33,11-04-2026 17:00,
GEM/2026/B/7396957,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Irrigation and Flood Control Department Delhi,19,01-04-2026 16:05,11-04-2026 17:00,
GEM/2026/B/7396856,"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",Irrigation and Flood Control Department Delhi,34,01-04-2026 16:08,11-04-2026 17:00,
GEM/2026/B/7400346,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Healthcare,Manpower Outso",Urban Development Department Delhi,136,28-03-2026 19:33,18-04-2026 09:00,
GEM/2026/B/7400030,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin",Urban Development Department Delhi,134,29-03-2026 12:19,13-04-2026 13:00,
GEM/2026/B/7265763,Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Others,Ministry of Defence | Department of Military Affairs,15,19-03-2026 12:38,02-05-2026 13:00,
GEM/2026/B/7387619,Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Admin,Department of Delhi Archives,2,24-03-2026 16:26,23-04-2026 15:00,
GEM/2026/B/7351210,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Ministry of Labour and Employment | NA,74,24-03-2026 12:30,10-04-2026 13:00,
GEM/2026/B/7325918,Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Others,Ministry of Defence | Department of Defence Production,1,02-04-2026 15:36,13-04-2026 16:00,
GEM/2026/B/7385330,Facility Management Service- Manpower based (Version 2) - Healthcare; DATA ENTRY OPERATOR; Skilled,Health and Family Welfare Department Delhi,28,24-03-2026 10:53,14-04-2026 11:00,
GEM/2026/B/7374257,Facility Management Service- Manpower based (Version 2) - Commercial; 3 drivers; Skilled,Ministry of Commerce and Industry | Department of Commerce,3,19-03-2026 16:21,10-04-2026 11:00,
GEM/2026/B/7410134,"Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Healthcare,Security Manpower",Ministry of Health and Family Welfare | Department of Health and Family Welfare,6,02-04-2026 12:01,13-04-2026 12:00,
GEM/2026/B/7408253,"Manpower Outsourcing Services - Fixed Remuneration - IT-Technical; Senior Consultant; Graduate,Manp",Ministry of Electronics and Information Technology | Department of Electronics and Information Technology,3,02-04-2026 16:15,22-04-2026 17:00,
GEM/2026/B/7406910,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Defence | Department of Military Affairs,19,01-04-2026 14:08,11-04-2026 13:00,
GEM/2026/B/7401868,"Manpower Outsourcing Services - Minimum wage - Highly-Skilled; as per Annexure enclosed; Others,Man",Ministry of Defence | Department of Defence Research & Development,17,02-04-2026 11:23,13-04-2026 16:00,
GEM/2026/B/7401046,"Manpower Outsourcing Services - Minimum wage - Unskilled; High School; Admin,Manpower Outsourcing S",Ministry of Consumer Affairs Food and Public Distribution | Department of Food and Public Distribution,26,02-04-2026 11:28,13-04-2026 13:00,
GEM/2026/B/7389430,Manpower Outsourcing Services - Man-days based - Monkey Repelleing/ Chasing/ Handling; Semi-skilled,Autonomous Body | Supreme Court of India,100,02-04-2026 11:09,23-04-2026 15:00,
GEM/2026/B/7383248,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Finance | Department of Financial Services,3,23-03-2026 15:19,10-04-2026 15:00,
GEM/2026/B/7354659,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Defence | Department of Military Affairs,18,01-04-2026 11:17,22-04-2026 12:00,
GEM/2026/B/7287953,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Healthcare,Ministry of Defence | Department of Military Affairs,1,01-04-2026 14:45,13-04-2026 15:00,
GEM/2026/B/7190561,Manpower Outsourcing Services - Minimum wage - Highly-Skilled; Graduate; Admin,Ministry of Development of North Eastern Region | NA,35,20-03-2026 17:06,10-04-2026 18:00,
GEM/2026/B/7371208,Facility Management Service- Manpower based (Version 2) - Commercial; Driver LMV; Semi-skilled,Ministry of Fisheries Animal Husbandry Dairying | Department of Animal Husbandry and Dairying,1,18-03-2026 16:09,17-04-2026 16:00,
GEM/2026/B/7237581,"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",Ministry of Culture | NA,4,23-03-2026 17:27,09-04-2026 18:00,
GEM/2026/B/7413132,Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Others,Ministry of Petroleum and Natural Gas | NA,1,03-04-2026 11:32,13-04-2026 15:00,
GEM/2026/B/7413821,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Education | Department of School Education and Literacy,6,04-04-2026 15:55,20-04-2026 16:00,
GEM/2026/B/7370892,Manpower Outsourcing Services - Minimum wage - Skilled; Not Required; Others,Ministry of Defence | Department of Military Affairs,2,06-04-2026 17:09,27-04-2026 17:00,
GEM/2026/B/7416387,Manpower Outsourcing Services - Minimum wage - Semi-skilled; Non- Matriculated; Others,Health and Family Welfare Department Delhi,23,06-04-2026 14:11,21-04-2026 15:00,
GEM/2026/B/7413653,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin",Ministry of Agriculture and Farmers Welfare | Department of Agriculture Cooperation and Farmers Welfare,2,03-04-2026 15:38,13-04-2026 17:00,
GEM/2026/B/7413683,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin",Ministry of Agriculture and Farmers Welfare | Department of Agriculture Cooperation and Farmers Welfare,2,03-04-2026 15:55,13-04-2026 17:00,
GEM/2026/B/7385604,"Manpower Outsourcing Services - Minimum wage - Skilled; Diploma; Healthcare,Manpower Outsourcing Se",Health and Family Welfare Department Delhi,17,24-03-2026 11:26,10-04-2026 12:00,
GEM/2026/B/7299486,Facility Management Service- Manpower based (Version 2) - Healthcare; Patient Support Services; Sem,Health and Family Welfare Department Delhi,13,28-02-2026 11:39,10-04-2026 14:00,
GEM/2026/B/7352460,"Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Others,Manpower Outsourci",Ministry of Defence | Department of Defence Research & Development,21,13-03-2026 11:25,13-04-2026 13:00,
GEM/2026/B/7420423,"Manpower Outsourcing Services - Minimum wage - Skilled; Graduate; Admin,Manpower Outsourcing Servic",Ministry of Finance | Department of Revenue,26,07-04-2026 13:29,17-04-2026 14:00,
GEM/2026/B/7384635,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Housing & Urban Affairs (MoHUA) | Ministry of Housing and Urban Affairs,15,24-03-2026 15:19,10-04-2026 16:00,
GEM/2026/B/7406796,"Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Manpower Outsourcin",Ministry of Defence | Department of Defence Research & Development,60,08-04-2026 14:37,15-04-2026 15:00,
GEM/2026/B/7397808,Manpower Outsourcing Services - Fixed Remuneration - IT-Technical; IT Engineer; Graduate,Ministry of Defence | Department of Defence,2,27-03-2026 17:21,15-04-2026 16:00,
GEM/2026/B/7410806,Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Ministry of Home Affairs | Central Armed Police Forces,4,04-04-2026 13:13,14-04-2026 16:00,
GEM/2026/B/7414725,Manpower Outsourcing Services - Minimum wage - Semi-skilled; High School; Admin,Ministry of Housing & Urban Affairs (MoHUA) | Ministry of Housing and Urban Affairs,44,04-04-2026 13:35,14-04-2026 14:00,
GEM/2026/B/7343517,"Manpower Outsourcing Services - Minimum wage - Unskilled; Not Required; Others,Manpower Outsourcing",Urban Development Department Delhi,8,19-03-2026 11:42,10-04-2026 09:00,
GEM/2026/B/7414998,"Manpower Outsourcing Services - Minimum wage - Skilled; Secondary School; Others,Manpower Outsourci",Ministry of Agriculture and Farmers Welfare | Department of Agriculture Cooperation and Farmers Welfare,8,04-04-2026 15:08,14-04-2026 17:00,
GEM/2026/B/7401035,"Manpower Outsourcing Services - Minimum wage - Skilled; Middle School; Admin,Manpower Outsourcing S",Training and Technical Education Department Delhi,85,30-03-2026 15:22,10-04-2026 19:00,
